"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1791.58874493968
"FDW14","OUT017",1567.76944487493
"NCN55","OUT010",1880.3741920361
"FDQ58","OUT017",2619.44419324802
"FDY38","OUT027",5138.14240593178
"FDH56","OUT046",2000.19772025582
"FDL48","OUT018",591.778379914243
"FDC48","OUT027",2785.54313521033
"FDN33","OUT045",1502.17010195489
"FDA36","OUT017",3128.14650471928
"FDT44","OUT017",2058.67554168117
"FDQ56","OUT045",1346.40550618252
"NCC54","OUT019",1869.32279181836
"FDU11","OUT049",2012.60052523769
"DRL59","OUT013",912.029751866801
"FDM24","OUT049",2506.17127227879
"FDI57","OUT045",3279.29642977609
"DRC12","OUT018",2750.60125934664
"NCM42","OUT027",3185.94178445875
"FDA46","OUT010",1116.38111888488
"FDA31","OUT013",2831.52913579548
"NCJ31","OUT035",3828.41853977415
"FDG52","OUT046",817.854260204286
"NCL19","OUT019",373.8436832962
"FDS10","OUT035",2964.96373455638
"FDX22","OUT010",1453.03246255768
"NCF19","OUT035",865.674259707973
"NCE06","OUT046",2571.79154978427
"DRC27","OUT046",3874.2140227301
"FDE21","OUT035",2012.43460566361
"NCR42","OUT019",0
"FDX51","OUT018",2869.30589754476
"NCR06","OUT018",418.651722256392
"FDU31","OUT027",4980.58828508857
"FDU59","OUT017",2754.95234658865
"FDR03","OUT027",4754.86413165421
"FDS49","OUT027",2777.85776130252
"FDD48","OUT010",0
"NCF18","OUT017",3141.4477206961
"NCD43","OUT027",3091.94924191547
"NCD54","OUT018",1980.44247971012
"FDY19","OUT010",0
"NCY54","OUT017",2834.48911926876
"NCL19","OUT018",2025.62780733965
"FDP23","OUT010",1542.71504195514
"FDC26","OUT013",1843.18969791342
"FDR14","OUT010",0
"NCS41","OUT035",2999.35605914664
"FDF41","OUT035",3968.69710069292
"FDU34","OUT046",2033.50468533753
"DRH11","OUT046",993.674354140963
"FDM03","OUT013",1731.84162994212
"FDS31","OUT017",3094.08264180635
"FDJ20","OUT017",2160.55072364976
"FDV44","OUT027",4523.63646506271
"FDG02","OUT049",3091.5260807416
"FDA09","OUT013",2935.03205296574
"FDT04","OUT013",642.377612733576
"FDL58","OUT019",2280.05587967808
"FDE52","OUT045",1411.44112495073
"FDW12","OUT035",2459.87417258308
"FDL51","OUT017",3547.76391785307
"NCY42","OUT027",3684.96353402998
"FDR07","OUT017",1729.40740276812
"FDN40","OUT045",2340.69209924956
"FDB35","OUT027",2979.14409272216
"FDA22","OUT017",2798.81309870805
"NCL06","OUT046",4149.35115427153
"FDI35","OUT013",2939.47773295594
"NCW42","OUT045",3407.81318462672
"NCX06","OUT049",2885.48995287393
"FDC37","OUT027",3198.69596279817
"FDZ14","OUT018",1691.6844401753
"DRG49","OUT049",3898.8563085814
"NCG06","OUT045",3956.22781016563
"DRC36","OUT045",2719.31046205625
"FDV21","OUT019",32.3077330570309
"FDB53","OUT046",2366.1615753859
"DRP47","OUT019",2043.7661765311
"FDA14","OUT013",2306.37619782435
"DRC24","OUT035",2514.41963795477
"FDW21","OUT018",1397.44085804662
"NCH29","OUT046",1620.21112759549
"FDU58","OUT013",3069.13868880967
"FDY27","OUT017",2935.92097642352
"FDV56","OUT035",1936.29508673955
"FDT59","OUT046",3714.20435963937
"FDB23","OUT046",3693.43083486473
"FDR49","OUT045",721.547886540416
"FDB03","OUT010",1860.28743557467
"FDN39","OUT045",2635.41012937928
"FDX02","OUT027",4941.36964047652
"FDQ16","OUT027",3162.45797827859
"FDU35","OUT018",1332.36891729154
"NCT29","OUT013",1978.26992233905
"FDZ27","OUT046",829.273461519266
"FDN57","OUT017",2375.99837809266
"FDA03","OUT018",2050.089221694
"FDZ36","OUT045",2929.76753779071
"NCU05","OUT013",1342.28395559811
"FDT39","OUT018",2192.25932737649
"FDK60","OUT017",1741.61729115612
"FDZ25","OUT017",2910.89628279349
"FDG12","OUT046",2064.87789898196
"DRB01","OUT019",1100.5660632557
"NCC43","OUT027",5362.24084421816
"FDX13","OUT019",2062.08832091257
"FDM22","OUT049",970.911026473278
"FDJ03","OUT027",2264.20310878313
"FDU14","OUT018",3645.36550717462
"FDB33","OUT010",667.883998575071
"FDP27","OUT046",3057.41730678232
"FDO38","OUT010",0
"FDE28","OUT027",5108.71478006194
"FDO27","OUT035",1647.83414189564
"DRL23","OUT027",3190.20516172182
"FDS28","OUT046",983.04220884807
"FDX24","OUT013",1545.44910821711
"FDZ02","OUT035",1665.12186957925
"FDL46","OUT045",1807.79738559079
"FDS60","OUT027",4300.11937732631
"NCO06","OUT017",658.744685221514
"FDO16","OUT035",1460.96024538251
"FDC60","OUT049",1495.02820579397
"FDA48","OUT018",3192.08843558883
"FDZ36","OUT027",4468.18011312626
"FDK27","OUT045",1893.21598031285
"FDW23","OUT018",380.73714893214
"FDM14","OUT018",1535.65283508084
"FDM14","OUT013",1814.55520600912
"FDW60","OUT018",2605.11746568823
"FDE21","OUT013",1944.35269753661
"NCM42","OUT035",1832.05904184642
"FDY59","OUT010",0
"DRI49","OUT049",1309.5228628842
"FDT28","OUT019",483.553513796883
"FDQ22","OUT018",395.274606190799
"FDR60","OUT049",1278.17275534015
"FDC50","OUT019",0
"FDV24","OUT013",2441.74617651317
"DRF48","OUT010",1078.42191491926
"FDQ47","OUT046",691.038266208604
"DRN36","OUT049",1599.55424928022
"NCY06","OUT035",2117.71339612564
"FDE52","OUT035",1560.18114980379
"NCB54","OUT045",1966.96291204207
"NCF31","OUT035",2496.46297973168
"FDJ08","OUT027",4478.55799369244
"NCC07","OUT017",1821.31864955547
"NCD19","OUT027",2319.50933743713
"FDL46","OUT049",1966.58034273083
"FDM20","OUT045",3869.01849569233
"NCI06","OUT010",917.364742819633
"DRM11","OUT035",4195.53464775585
"NCH07","OUT018",2198.66937798306
"FDS23","OUT013",2090.31716459041
"FDO49","OUT018",603.537560668739
"FDS35","OUT049",1117.56906121032
"DRK39","OUT045",1247.50236354056
"DRI39","OUT049",964.637865571221
"FDV04","OUT017",2645.9913159351
"NCN14","OUT035",2963.16487203916
"FDH08","OUT013",3732.68376805562
"FDS20","OUT046",2988.72955897016
"FDV40","OUT049",1266.33622260805
"FDZ48","OUT010",0
"FDS24","OUT027",2908.6091134729
"FDK44","OUT049",2834.04775498087
"FDS48","OUT045",2357.36373371789
"FDK26","OUT010",1133.67425782599
"FDD23","OUT045",3001.70508225551
"NCH54","OUT017",2670.95656052349
"NCP14","OUT010",0
"FDM60","OUT010",0
"FDV24","OUT017",2544.45211920048
"FDH08","OUT018",3388.39576929643
"FDS12","OUT027",3461.94270585684
"FDR39","OUT027",4312.78352804144
"FDP12","OUT027",2123.34545209726
"DRF60","OUT027",5165.49413299961
"FDC09","OUT035",1835.72677490186
"FDF50","OUT018",2883.99538418181
"FDG28","OUT035",3969.13137388789
"NCE19","OUT017",1016.38702073913
"NCM53","OUT010",0
"NCN18","OUT049",1817.11565337868
"FDF32","OUT035",3283.11212532669
"FDF11","OUT013",3894.23607593364
"DRI59","OUT049",3624.12318959348
"NCG54","OUT035",2750.08369189155
"FDM44","OUT046",1723.64137545981
"FDT57","OUT018",3460.14954503003
"FDV24","OUT046",2448.30949648867
"FDI50","OUT019",1785.55887842806
"FDS09","OUT035",978.771718494158
"NCC31","OUT027",3886.38357363858
"FDQ07","OUT019",1623.9055506279
"FDC22","OUT017",3196.51422367597
"FDZ56","OUT046",2781.6130826406
"FDZ40","OUT019",0
